algorithm,seed,reward,steps,net_electricity_consumption,electricity_cost,carbon_emission,peak_net_electricity
BC,1,-32905.578914115664,719,1496.9543829520117,45.24437061777644,714.5516461335937,9.309457778930664
BC,2,-31842.21497076322,719,1512.4118644692062,45.73378386327535,720.8937525201472,9.308589935302734
BC,3,-32618.05333910873,719,1512.688114884426,45.72699538001143,719.5416197477025,9.303969383239746
IQL,1,-39490.33720615074,719,1473.596083414217,45.05706057878706,717.4326770369662,9.442878723144531
IQL,2,-50914.35531832372,719,1403.8128468566574,42.74482727369468,687.0260223180521,9.363697052001951
IQL,3,-46259.80671209453,719,1418.5000455122208,43.39318497579734,693.5262510784087,9.417604446411133
CQL,1,-129513.76102043844,719,3205.9931230407674,103.49395507607916,1565.8113227208378,12.227679252624512
CQL,2,-190519.67753023256,719,3273.8551845328184,103.0447269320066,1590.343630803458,12.946441650390623
CQL,3,-131165.41582412057,719,3104.147696456173,99.15000481777317,1522.9956846483692,12.65419101715088
