mode,building_1_guardrail_activations,building_1_occupied_count,building_1_overheating_discomfort,building_1_violation_count,building_2_guardrail_activations,building_2_occupied_count,building_2_overheating_discomfort,building_2_violation_count,building_3_guardrail_activations,building_3_occupied_count,building_3_overheating_discomfort,building_3_violation_count,carbon_emission,electricity_cost,guardrail_activations,net_electricity_consumption,peak_net_electricity,reward,steps,worst_building_overheating_discomfort
NORMAL_IQL,,713,0.9775596072931276,697,,536,0.42723880597014924,229,,601,0.4925124792013311,296,717.4326770369662,45.05706057878706,,1473.596083414217,9.442878723144531,-39490.33720615074,719,0.9775596072931276
GUARDED_IQL,96,713,0.13464235624123422,96,67,536,0.125,67,44,601,0.07321131447587355,44,880.5842792224139,57.776180786608165,207,1838.8486301000812,11.038979530334473,-16972.82021725979,719,0.13464235624123422
