algorithm,net_electricity_consumption_mean,net_electricity_consumption_std,electricity_cost_mean,electricity_cost_std,carbon_emission_mean,carbon_emission_std,peak_net_electricity_mean,peak_net_electricity_std
BC,1507.3514541018812,9.005187113245698,45.56838328702107,0.2806237307312592,718.3290061338145,3.3404194627367607,9.307339032491049,0.0029502864603687317
IQL,1431.969658594365,36.789915514296624,43.73169094275969,1.1927050899306346,699.3283168111424,16.01215594084808,9.408060073852539,0.040444474862283156
CQL,3194.6653346765866,85.41894970812356,101.89622894195297,2.388882936965955,1559.7168793908884,34.08508680425585,12.609437306722006,0.3614650979811
