expectile,weight_temp,mean,std,experiment
0.5,1.0,-1085.8675531961308,346.09264402411713,iql_quarter_sweep
0.5,3.0,-1077.3992903601581,281.4860360657149,iql_quarter_sweep
0.5,10.0,-969.0118237316693,350.77940035795183,iql_quarter_sweep
0.7,1.0,-1093.3767553562514,176.6579077052818,iql_quarter_sweep
0.7,3.0,-1099.0564956053609,156.61790944967038,iql_quarter_sweep
0.7,10.0,-1114.3360865397397,280.3582262612018,iql_quarter_sweep
0.9,1.0,-1108.3938773859397,182.725255443991,iql_quarter_sweep
0.9,3.0,-1021.0948202454838,478.0843473332667,iql_quarter_sweep
0.9,10.0,-1080.7048376723599,295.328158460705,iql_quarter_sweep
