variant,algorithm,mean,std,count
full,BC,94.40636715635726,0.4685976393315169,3
full,IQL,93.84792090534894,0.37954741602042275,3
full,CQL,94.30513583920356,0.6901591219188923,3
half,BC,93.96599925853566,0.6145596553738724,3
half,IQL,93.97462067491101,0.1472344355065741,3
half,CQL,94.34343253910237,0.3052741955297136,3
quarter,BC,94.17262601394539,0.4040937020611015,3
quarter,IQL,94.3379299556102,0.2600641149852282,3
quarter,CQL,94.26501573863898,0.21625731445225377,3
