algorithm,cost_function,mean,std
BC,all_time_peak_average,0.878299086383878,0.0008893487717028815
BC,annual_normalized_unserved_energy_total,0.011252150008646334,0.00029127358373202803
BC,carbon_emissions_total,0.6024174253259184,0.002381766980026625
BC,cost_total,0.5714340982854503,0.0022945334864537207
BC,daily_one_minus_load_factor_average,1.1311783361517993,0.0030289051334090687
BC,daily_peak_average,0.7786503699131598,0.0015130540585909114
BC,discomfort_cold_delta_average,0.041537622169212036,0.002709183999326576
BC,discomfort_cold_delta_maximum,1.4923394521077473,0.07294265253020542
BC,discomfort_cold_delta_minimum,0.0,0.0
BC,discomfort_cold_proportion,0.00015583606046436666,0.0002699159743756587
BC,discomfort_hot_delta_average,2.5811945614991365,0.03773162563055692
BC,discomfort_hot_delta_maximum,9.56079207526313,0.03476842358595354
BC,discomfort_hot_delta_minimum,0.0,0.0
BC,discomfort_hot_proportion,0.6386823636347685,0.0073575244484257885
BC,discomfort_proportion,0.6388381996952329,0.007365015510593574
BC,electricity_consumption_total,0.6117883252337464,0.0023184220042968794
BC,monthly_one_minus_load_factor_average,1.0729859023766242,0.0007257450343899489
BC,one_minus_thermal_resilience_proportion,0.8042328042328043,0.027046302474353665
BC,power_outage_normalized_unserved_energy_total,0.5260559138106838,0.006439059144464605
BC,ramping_average,0.8841677013643799,0.0009027449299347027
BC,zero_net_energy,0.5876678734091498,0.0026341633942138965
CQL,all_time_peak_average,1.2377082285809504,0.08755510222126811
CQL,annual_normalized_unserved_energy_total,0.0168276107588971,0.0018765196943948072
CQL,carbon_emissions_total,1.3912774788690483,0.035982085294591286
CQL,cost_total,1.365842560074735,0.02432265157086973
CQL,daily_one_minus_load_factor_average,1.0171021662837916,0.035508846215404455
CQL,daily_peak_average,1.2918657635867208,0.10600504499970591
CQL,discomfort_cold_delta_average,2.418860187353911,0.16945444491616035
CQL,discomfort_cold_delta_maximum,8.473809348212349,0.19329115155924795
CQL,discomfort_cold_delta_minimum,0.0,0.0
CQL,discomfort_cold_proportion,0.6375926819073304,0.02499636090487442
CQL,discomfort_hot_delta_average,0.5447282588040386,0.17985859430937634
CQL,discomfort_hot_delta_maximum,6.677489598592122,0.9254100462565139
CQL,discomfort_hot_delta_minimum,0.0,0.0
CQL,discomfort_hot_proportion,0.11357305005838399,0.03409208698585593
CQL,discomfort_proportion,0.7511657319657146,0.043445420978321284
CQL,electricity_consumption_total,1.3935510899971424,0.03520781621106436
CQL,monthly_one_minus_load_factor_average,0.9950300575674283,0.019220005190093495
CQL,one_minus_thermal_resilience_proportion,0.5529100529100529,0.05040359492925299
CQL,power_outage_normalized_unserved_energy_total,0.7576844776161699,0.027053252628865685
CQL,ramping_average,1.9893936599550586,0.10127749501507502
CQL,zero_net_energy,1.3364700221973163,0.04851206242453894
IQL,all_time_peak_average,0.8931674829501598,0.0058401251470254
IQL,annual_normalized_unserved_energy_total,0.0116200975253104,9.600485135768694e-05
IQL,carbon_emissions_total,0.6021838130348597,0.01458335963651454
IQL,cost_total,0.5750194226933211,0.014588704890336564
IQL,daily_one_minus_load_factor_average,1.1659162351614094,0.01025157789238008
IQL,daily_peak_average,0.7848683912308451,0.004479652748157356
IQL,discomfort_cold_delta_average,0.020369004025871332,0.005766302234684284
IQL,discomfort_cold_delta_maximum,1.0008873409695094,0.27273775896405605
IQL,discomfort_cold_delta_minimum,0.0,0.0
IQL,discomfort_cold_proportion,0.0006218905472636667,0.0010771460246074848
IQL,discomfort_hot_delta_average,3.31325822788992,0.23200162943055191
IQL,discomfort_hot_delta_maximum,9.176056332058378,0.327981433004893
IQL,discomfort_hot_delta_minimum,0.0,0.0
IQL,discomfort_hot_proportion,0.6637425147596394,0.029606183453604183
IQL,discomfort_proportion,0.6643644053069031,0.02862307573013111
IQL,electricity_consumption_total,0.6080036896916459,0.014815075728603778
IQL,monthly_one_minus_load_factor_average,1.0829178348879722,0.003632623169235834
IQL,one_minus_thermal_resilience_proportion,0.9312169312169312,0.022241110642310807
IQL,power_outage_normalized_unserved_energy_total,0.5330194068442577,0.008012754218111724
IQL,ramping_average,0.9013018707058391,0.007327808745761665
IQL,zero_net_energy,0.5755374421969931,0.01526708879217773
