algorithm,seed,cost_function,value,name,level
BC,2,zero_net_energy,0.5900169236200653,District,district
BC,2,electricity_consumption_total,0.5903152780913293,Building_1,building
BC,2,zero_net_energy,0.5398982354336229,Building_1,building
BC,2,carbon_emissions_total,0.5832516589934262,Building_1,building
BC,2,cost_total,0.5547599326658034,Building_1,building
BC,2,discomfort_proportion,0.6928471248246845,Building_1,building
BC,2,discomfort_cold_proportion,0.0,Building_1,building
BC,2,discomfort_hot_proportion,0.6928471248246845,Building_1,building
BC,2,discomfort_cold_delta_minimum,0.0,Building_1,building
BC,2,discomfort_cold_delta_maximum,1.8231372833251953,Building_1,building
BC,2,discomfort_cold_delta_average,0.0574466864267985,Building_1,building
BC,2,discomfort_hot_delta_minimum,0.0,Building_1,building
BC,2,discomfort_hot_delta_maximum,9.439491271972656,Building_1,building
BC,2,discomfort_hot_delta_average,2.8841172297795614,Building_1,building
BC,2,one_minus_thermal_resilience_proportion,0.6,Building_1,building
BC,2,power_outage_normalized_unserved_energy_total,0.52483946582639,Building_1,building
BC,2,annual_normalized_unserved_energy_total,0.011317759923394231,Building_1,building
BC,2,electricity_consumption_total,0.5888845719913456,Building_2,building
BC,2,zero_net_energy,0.5884092123021045,Building_2,building
BC,2,carbon_emissions_total,0.5779516143599522,Building_2,building
BC,2,cost_total,0.546219376840959,Building_2,building
BC,2,discomfort_proportion,0.5970149253731343,Building_2,building
BC,2,discomfort_cold_proportion,0.0,Building_2,building
BC,2,discomfort_hot_proportion,0.5970149253731343,Building_2,building
BC,2,discomfort_cold_delta_minimum,0.0,Building_2,building
BC,2,discomfort_cold_delta_maximum,1.5050811767578125,Building_2,building
BC,2,discomfort_cold_delta_average,0.03823946317036946,Building_2,building
BC,2,discomfort_hot_delta_minimum,0.0,Building_2,building
BC,2,discomfort_hot_delta_maximum,11.407506942749023,Building_2,building
BC,2,discomfort_hot_delta_average,2.616066116756863,Building_2,building
BC,2,one_minus_thermal_resilience_proportion,0.7857142857142857,Building_2,building
BC,2,power_outage_normalized_unserved_energy_total,0.49856999007286035,Building_2,building
BC,2,annual_normalized_unserved_energy_total,0.009685976994179193,Building_2,building
BC,2,electricity_consumption_total,0.6635121818192963,Building_3,building
BC,2,zero_net_energy,0.6417433231244687,Building_3,building
BC,2,carbon_emissions_total,0.6536333938382336,Building_3,building
BC,2,cost_total,0.6208177407002385,Building_3,building
BC,2,discomfort_proportion,0.6039933444259568,Building_3,building
BC,2,discomfort_cold_proportion,0.0,Building_3,building
BC,2,discomfort_hot_proportion,0.6039933444259568,Building_3,building
BC,2,discomfort_cold_delta_minimum,0.0,Building_3,building
BC,2,discomfort_cold_delta_maximum,1.1725139617919922,Building_3,building
BC,2,discomfort_cold_delta_average,0.033276197645399304,Building_3,building
BC,2,discomfort_hot_delta_minimum,0.0,Building_3,building
BC,2,discomfort_hot_delta_maximum,7.742544174194336,Building_3,building
BC,2,discomfort_hot_delta_average,2.1533594290415445,Building_3,building
BC,2,one_minus_thermal_resilience_proportion,0.9333333333333333,Building_3,building
BC,2,power_outage_normalized_unserved_energy_total,0.5393555924351836,Building_3,building
BC,2,annual_normalized_unserved_energy_total,0.011841192412051121,Building_3,building
BC,3,all_time_peak_average,0.8784662229756552,District,district
BC,3,annual_normalized_unserved_energy_total,0.011279165618791475,District,district
BC,3,carbon_emissions_total,0.6020910335422763,District,district
BC,3,cost_total,0.5709491303877772,District,district
BC,3,daily_one_minus_load_factor_average,1.1307908070015518,District,district
BC,3,daily_peak_average,0.7803639701535923,District,district
BC,3,discomfort_cold_delta_average,0.0432133709942853,District,district
BC,3,discomfort_cold_delta_maximum,1.561007817586263,District,district
BC,3,discomfort_cold_delta_minimum,0.0,District,district
BC,3,discomfort_cold_proportion,0.00046750818139317435,District,district
BC,3,discomfort_hot_delta_average,2.5688506612071285,District,district
BC,3,discomfort_hot_delta_maximum,9.554113388061523,District,district
BC,3,discomfort_hot_delta_minimum,0.0,District,district
BC,3,discomfort_hot_proportion,0.6387624324557376,District,district
BC,3,discomfort_proportion,0.6392299406371308,District,district
BC,3,electricity_consumption_total,0.6115001977452253,District,district
BC,3,monthly_one_minus_load_factor_average,1.0724922373591708,District,district
BC,3,one_minus_thermal_resilience_proportion,0.8190476190476191,District,district
BC,3,power_outage_normalized_unserved_energy_total,0.5239656441760026,District,district
BC,3,ramping_average,0.8844561702061646,District,district
BC,3,zero_net_energy,0.5881667547448668,District,district
BC,3,electricity_consumption_total,0.5984559572793038,Building_1,building
BC,3,zero_net_energy,0.5513619214267917,Building_1,building
BC,3,carbon_emissions_total,0.591229875126473,Building_1,building
BC,3,cost_total,0.5626136749490642,Building_1,building
BC,3,discomfort_proportion,0.664796633941094,Building_1,building
BC,3,discomfort_cold_proportion,0.001402524544179523,Building_1,building
BC,3,discomfort_hot_proportion,0.6633941093969145,Building_1,building
BC,3,discomfort_cold_delta_minimum,0.0,Building_1,building
BC,3,discomfort_cold_delta_maximum,2.0981712341308594,Building_1,building
BC,3,discomfort_cold_delta_average,0.06374052100711398,Building_1,building
BC,3,discomfort_hot_delta_minimum,0.0,Building_1,building
BC,3,discomfort_hot_delta_maximum,9.265205383300781,Building_1,building
BC,3,discomfort_hot_delta_average,2.736042112774319,Building_1,building
BC,3,one_minus_thermal_resilience_proportion,0.6,Building_1,building
BC,3,power_outage_normalized_unserved_energy_total,0.5134587306432241,Building_1,building
BC,3,annual_normalized_unserved_energy_total,0.011098708428175083,Building_1,building
BC,3,electricity_consumption_total,0.5756355482740068,Building_2,building
BC,3,zero_net_energy,0.5743197841895199,Building_2,building
BC,3,carbon_emissions_total,0.5644799466632806,Building_2,building
BC,3,cost_total,0.5324149072551831,Building_2,building
BC,3,discomfort_proportion,0.6305970149253731,Building_2,building
BC,3,discomfort_cold_proportion,0.0,Building_2,building
BC,3,discomfort_hot_proportion,0.6305970149253731,Building_2,building
BC,3,discomfort_cold_delta_minimum,0.0,Building_2,building
BC,3,discomfort_cold_delta_maximum,1.6438674926757812,Building_2,building
BC,3,discomfort_cold_delta_average,0.03804588052961561,Building_2,building
BC,3,discomfort_hot_delta_minimum,0.0,Building_2,building
BC,3,discomfort_hot_delta_maximum,11.621038436889648,Building_2,building
BC,3,discomfort_hot_delta_average,2.7578189505471125,Building_2,building
BC,3,one_minus_thermal_resilience_proportion,0.8571428571428571,Building_2,building
BC,3,power_outage_normalized_unserved_energy_total,0.518623660952546,Building_2,building
BC,3,annual_normalized_unserved_energy_total,0.010727557509884328,Building_2,building
BC,3,electricity_consumption_total,0.6604090876823654,Building_3,building
BC,3,zero_net_energy,0.6388185586182887,Building_3,building
BC,3,carbon_emissions_total,0.6505632788370757,Building_3,building
BC,3,cost_total,0.6178188089590843,Building_3,building
BC,3,discomfort_proportion,0.6222961730449251,Building_3,building
BC,3,discomfort_cold_proportion,0.0,Building_3,building
