algorithm,name,cost_function,mean,std
BC,Building_1,discomfort_cold_delta_average,0.05370902926833537,0.012332687640855178
BC,Building_1,discomfort_cold_proportion,0.00046750818139316665,0.0008097479231270914
BC,Building_1,discomfort_hot_delta_average,2.9044723660857588,0.1794756322424893
BC,Building_1,discomfort_hot_proportion,0.6970546984572229,0.03594952487510881
BC,Building_1,discomfort_proportion,0.6975222066386162,0.03529609366652989
BC,Building_2,discomfort_cold_delta_average,0.03961044064274536,0.0025440920279419773
BC,Building_2,discomfort_cold_proportion,0.0,0.0
BC,Building_2,discomfort_hot_delta_average,2.6663674071983055,0.07933141847746436
BC,Building_2,discomfort_hot_proportion,0.609452736318408,0.018406279337000946
BC,Building_2,discomfort_proportion,0.609452736318408,0.018406279337000946
BC,Building_3,discomfort_cold_delta_average,0.031293396596555334,0.002990438531288519
BC,Building_3,discomfort_cold_proportion,0.0,0.0
BC,Building_3,discomfort_hot_delta_average,2.172743911213345,0.034600138707501484
BC,Building_3,discomfort_hot_proportion,0.6095396561286744,0.01107874894921695
BC,Building_3,discomfort_proportion,0.6095396561286744,0.01107874894921695
CQL,Building_1,discomfort_cold_delta_average,1.3050875809457567,0.22346971781064162
CQL,Building_1,discomfort_cold_proportion,0.2571294997662459,0.044558214333590855
CQL,Building_1,discomfort_hot_delta_average,1.546518380553634,0.53373970105443
CQL,Building_1,discomfort_hot_proportion,0.32211313697989713,0.10497718983302298
CQL,Building_1,discomfort_proportion,0.5792426367461431,0.06531910811890611
CQL,Building_2,discomfort_cold_delta_average,3.053399588885131,0.5115101090394794
CQL,Building_2,discomfort_cold_proportion,0.8109452736318409,0.05363062353818506
CQL,Building_2,discomfort_hot_delta_average,0.05186681217617453,0.010116005877161834
CQL,Building_2,discomfort_hot_proportion,0.013059701492537268,0.0032314380738225124
CQL,Building_2,discomfort_proportion,0.8240049751243781,0.05048816789749946
CQL,Building_3,discomfort_cold_delta_average,2.8980933922308463,0.18602164962749948
CQL,Building_3,discomfort_cold_proportion,0.8447032723239046,0.03370496861727902
CQL,Building_3,discomfort_hot_delta_average,0.035799583682307436,0.03273442549020272
CQL,Building_3,discomfort_hot_proportion,0.005546311702717667,0.002541639320552312
CQL,Building_3,discomfort_proportion,0.8502495840266223,0.031173034933769016
IQL,Building_1,discomfort_cold_delta_average,0.00032576984829369994,0.0
IQL,Building_1,discomfort_cold_proportion,0.0,0.0
IQL,Building_1,discomfort_hot_delta_average,6.3971817387474905,0.4412820132795634
IQL,Building_1,discomfort_hot_proportion,0.9780271154745207,0.0021423916292454153
IQL,Building_1,discomfort_proportion,0.9780271154745207,0.0021423916292454153
IQL,Building_2,discomfort_cold_delta_average,0.031936831827516894,0.011803608402502405
IQL,Building_2,discomfort_cold_proportion,0.0018656716417910335,0.0032314380738225124
IQL,Building_2,discomfort_hot_delta_average,1.6452289351710565,0.1331348522996105
IQL,Building_2,discomfort_hot_proportion,0.47077114427860695,0.050488167897499533
IQL,Building_2,discomfort_proportion,0.47263681592039797,0.04812323910983364
IQL,Building_3,discomfort_cold_delta_average,0.028844410401803435,0.0055415466672615165
IQL,Building_3,discomfort_cold_proportion,0.0,0.0
IQL,Building_3,discomfort_hot_delta_average,1.8973640097512139,0.1333619917216823
IQL,Building_3,discomfort_hot_proportion,0.5424292845257904,0.0432292214867441
IQL,Building_3,discomfort_proportion,0.5424292845257904,0.0432292214867441
